time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.175	4.500	950	11935.7	1852.87	0	1015.9	809.017	0.259151	0.740849	0.880305	0.0917969	0.0278983	1	0
0.176	4.500	950	11988.6	1852.87	0	1015.9	809.017	0.259259	0.740741	0.880112	0.0918451	0.028043	1	0
0.177	4.500	950	11994.5	1852.87	0	1015.9	809.017	0.25897	0.74103	0.878918	0.0930025	0.0280792	1	0
0.178	4.500	950	11897.9	1852.88	0	1015.9	809.017	0.25991	0.74009	0.878665	0.093533	0.0278019	1	0
0.179	4.500	950	11999	1852.87	0	1015.9	809.017	0.257885	0.742115	0.879003	0.092894	0.0281033	1	0
0.18	4.500	950	12046.5	1852.87	0	1015.9	809.017	0.255136	0.744864	0.879557	0.0921465	0.0282962	1	0
0.181	4.500	950	12034.4	1852.87	0	1015.9	809.017	0.257415	0.742585	0.879135	0.0925805	0.0282841	1	0
0.182	4.500	950	12069.8	1852.87	0	1015.9	809.017	0.253834	0.746166	0.879581	0.0920139	0.0284047	1	0
0.183	4.500	950	12081.7	1852.87	0	1015.9	809.017	0.255642	0.744358	0.880003	0.0915437	0.0284529	1	0
0.184	4.500	950	12162.2	1852.86	0	1015.9	809.017	0.256366	0.743634	0.880232	0.0911579	0.0286097	1	0
0.185	4.500	950	12140.8	1852.86	0	1015.9	809.017	0.259332	0.740668	0.879847	0.0915799	0.0285735	1	0
0.186	4.500	950	11976.3	1852.88	0	1015.9	809.017	0.256547	0.743453	0.880064	0.0917728	0.0281636	1	0
0.187	4.500	950	12022.2	1852.87	0	1015.9	809.017	0.257017	0.742983	0.879461	0.0923394	0.0281997	1	0
0.188	4.500	950	12099.2	1852.86	0	1015.9	809.017	0.256149	0.743851	0.879401	0.0921345	0.028465	1	0
0.189	4.500	950	11983.5	1852.88	0	1015.9	809.017	0.257595	0.742405	0.879437	0.0923756	0.0281877	1	0
0.19	4.500	950	12076.9	1852.86	0	1015.9	809.017	0.257198	0.742802	0.879364	0.0921586	0.028477	1	0
0.191	4.500	950	12182.1	1852.84	0	1015.9	809.018	0.258681	0.741319	0.879497	0.0917969	0.0287061	1	0
0.192	4.500	950	12154.9	1852.84	0	1015.9	809.018	0.253038	0.746962	0.879533	0.091821	0.0286458	1	0
0.193	4.500	950	12157.1	1852.85	0	1015.9	809.018	0.251845	0.748155	0.880172	0.0911579	0.0286699	1	0
0.194	4.500	950	12299.2	1852.83	0	1015.9	809.018	0.254557	0.745443	0.879292	0.0917486	0.0289593	1	0
0.195	4.500	950	12195.4	1852.85	0	1015.9	809.018	0.252496	0.747504	0.878858	0.09246	0.028682	1	0
0.196	4.500	950	12149.2	1852.85	0	1015.9	809.018	0.253798	0.746202	0.878653	0.0927493	0.0285976	1	0
0.197	4.500	950	12117.2	1852.85	0	1015.9	809.018	0.255751	0.744249	0.879702	0.0918572	0.0284409	1	0
0.198	4.500	950	12075.3	1852.85	0	1015.9	809.018	0.257451	0.742549	0.879714	0.0920018	0.0282841	1	0
0.199	4.500	950	12119.6	1852.85	0	1015.9	809.018	0.256185	0.743815	0.880196	0.091399	0.0284047	1	0
0.2	4.500	950	12094.4	1852.86	0	1015.9	809.018	0.253689	0.746311	0.880088	0.0915196	0.0283927	1	0
0.201	4.500	950	12064.5	1852.86	0	1015.9	809.018	0.253942	0.746058	0.880401	0.0913267	0.0282721	1	0
0.202	4.500	950	12138.6	1852.85	0	1015.9	809.018	0.254883	0.745117	0.880196	0.0912664	0.0285373	1	0
0.203	4.500	950	12106.1	1852.85	0	1015.9	809.018	0.259006	0.740994	0.880449	0.0911699	0.0283806	1	0
0.204	4.500	950	12135.3	1852.85	0	1015.9	809.018	0.256221	0.743779	0.880859	0.0906274	0.0285132	1	0
0.205	4.500	950	12230.2	1852.84	0	1015.9	809.018	0.255317	0.744683	0.880498	0.0907962	0.0287061	1	0
0.206	4.500	950	12156.7	1852.85	0	1015.9	809.018	0.2551	0.7449	0.880715	0.0907239	0.0285614	1	0
0.207	4.500	950	12053.2	1852.85	0	1015.9	809.018	0.256402	0.743598	0.880522	0.0912543	0.0282239	1	0
0.208	4.500	950	12052	1852.85	0	1015.9	809.018	0.255462	0.744538	0.881004	0.0906756	0.0283203	1	0
0.209	4.500	950	12043.3	1852.86	0	1015.9	809.018	0.259512	0.740488	0.881149	0.0905189	0.0283324	1	0
0.21	4.500	950	12031.9	1852.85	0	1015.9	809.018	0.25774	0.74226	0.88104	0.0906515	0.0283083	1	0
0.211	4.500	950	12024	1852.86	0	1015.9	809.018	0.2568	0.7432	0.880739	0.0909529	0.0283083	1	0
0.212	4.500	950	12234.6	1852.84	0	1015.9	809.018	0.258608	0.741392	0.880751	0.0904707	0.0287785	1	0
0.213	4.500	950	12345.4	1852.83	0	1015.9	809.018	0.257812	0.742188	0.880751	0.0902296	0.0290196	1	0
