time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.11	4.500	950	15142.3	1852.49	0	1015.9	809.022	0.251029	0.748971	0.26406	0.69856	0.03738	0.977778	0.0222222
0.111	4.500	950	15751.5	1852.4	0	1015.9	809.023	0.266461	0.733539	0.274348	0.686557	0.0390947	0.974074	0.0259259
0.112	4.500	950	16931	1852.3	0	1015.91	809.024	0.239712	0.760288	0.268861	0.688615	0.042524	0.974074	0.0259259
0.113	4.500	950	19087.9	1852.11	0	1015.91	809.025	0.22428	0.77572	0.248285	0.703361	0.0483539	0.974074	0.0259259
0.114	4.500	950	21534.6	1851.82	0	1015.92	809.029	0.219136	0.780864	0.241427	0.70439	0.0541838	0.974074	0.0259259
0.115	4.500	950	22884.1	1851.64	0	1015.92	809.031	0.215021	0.784979	0.221536	0.720508	0.0579561	0.974074	0.0259259
0.116	4.500	950	24167.2	1851.5	0	1015.92	809.032	0.233539	0.766461	0.227023	0.711591	0.0613855	0.974074	0.0259259
0.117	4.500	950	25550.2	1851.37	0	1015.93	809.034	0.213992	0.786008	0.219479	0.715021	0.0655007	0.977778	0.0222222
0.118	4.500	950	26817.5	1851.27	0	1015.93	809.035	0.209877	0.790123	0.216735	0.712963	0.0703018	0.988889	0.0111111
0.119	4.500	950	28504.5	1851.05	0	1015.93	809.037	0.210905	0.789095	0.198217	0.727366	0.074417	0.988889	0.0111111
0.12	4.500	950	29286.4	1850.98	0	1015.94	809.038	0.193416	0.806584	0.190672	0.732853	0.0764746	0.988889	0.0111111
0.121	4.500	950	29579.2	1850.94	0	1015.94	809.038	0.195473	0.804527	0.185871	0.736283	0.0778464	0.981481	0.0185185
0.122	4.500	950	29579.3	1850.93	0	1015.94	809.038	0.186214	0.813786	0.16941	0.752743	0.0778464	0.981481	0.0185185
0.123	4.500	950	30584.8	1850.86	0	1015.94	809.039	0.184156	0.815844	0.168724	0.751372	0.079904	0.988889	0.0111111
0.124	4.500	950	31729	1850.75	0	1015.94	809.04	0.194444	0.805556	0.165981	0.750343	0.0836763	0.988889	0.0111111
0.125	4.500	950	32441.3	1850.67	0	1015.94	809.041	0.17284	0.82716	0.167353	0.747257	0.0853909	0.981481	0.0185185
0.126	4.500	950	32616.1	1850.59	0	1015.94	809.042	0.176955	0.823045	0.159122	0.755144	0.0857339	0.981481	0.0185185
0.127	4.500	950	33376.3	1850.51	0	1015.94	809.043	0.1893	0.8107	0.16941	0.743141	0.0874486	0.985185	0.0148148
0.128	4.500	950	33384.9	1850.43	0	1015.94	809.044	0.184156	0.815844	0.164609	0.748285	0.0871056	0.988889	0.0111111
0.129	4.500	950	34112.3	1850.34	0	1015.94	809.045	0.179012	0.820988	0.170096	0.741084	0.0888203	0.988889	0.0111111
0.13	4.500	950	33481	1850.4	0	1015.94	809.045	0.170782	0.829218	0.160494	0.752401	0.0871056	0.988889	0.0111111
0.131	4.500	950	35694.9	1850.21	0	1015.95	809.046	0.175926	0.824074	0.143347	0.763032	0.0936214	0.988889	0.0111111
0.132	4.500	950	34938.3	1850.32	0	1015.95	809.045	0.171811	0.828189	0.151578	0.756173	0.0922497	0.992593	0.00740741
0.133	4.500	950	34763.2	1850.35	0	1015.95	809.045	0.180041	0.819959	0.154321	0.754115	0.0915638	0.992593	0.00740741
0.134	4.500	950	34677.9	1850.37	0	1015.95	809.044	0.182099	0.817901	0.151578	0.757202	0.0912209	0.992593	0.00740741
0.135	4.500	950	34170.7	1850.51	0	1015.95	809.043	0.154321	0.845679	0.162551	0.747599	0.0898491	0.988889	0.0111111
0.136	4.500	950	33099	1850.65	0	1015.95	809.041	0.16358	0.83642	0.163923	0.748285	0.0877915	0.988889	0.0111111
0.137	4.500	950	33338.1	1850.61	0	1015.95	809.041	0.158436	0.841564	0.178326	0.733196	0.0884774	0.988889	0.0111111
0.138	4.500	950	33882.7	1850.54	0	1015.95	809.042	0.15535	0.84465	0.16118	0.748971	0.0898491	0.988889	0.0111111
0.139	4.500	950	34893.8	1850.39	0	1015.95	809.044	0.165638	0.834362	0.176269	0.732167	0.0915638	0.985185	0.0148148
0.14	4.500	950	35557.4	1850.29	0	1015.95	809.045	0.179012	0.820988	0.165981	0.740398	0.0936214	0.981481	0.0185185
0.141	4.500	950	37110.9	1850.08	0	1015.95	809.048	0.151235	0.848765	0.167353	0.734568	0.0980796	0.985185	0.0148148
